Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-12,4.6,9.6,30238,651,310,31,10,1.7,183|972|1003|1436|1906|2113|2152|2321|2624|3071|3655|3685|3688|3791|3965|4088|5156|5168|5420|6662|7099|9922|51176|54453|57580|57608|59341|64115|64805|81704|196527,AGT|CD74|CDH5|CSF1R|EDN1|ETS1|F3|FLT1|GATA2|NCKAP1L|ITGA6|ITGAV|ITGB1|KDR|LGALS9|SMAD3|PDGFRA|ENPP2|PODXL|SOX9|TLR4|IQSEC1|LEF1|RIN2|PREX1|JCAD|TRPV4|VSIR|P2RY12|DOCK8|ANO6,-8.5,GenesID
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-12,4.6,9.4,30238,664,310,31,10,1.7,639|678|945|972|3071|3105|3117|3122|3127|3133|3635|3822|3965|5074|5156|5791|6541|7037|7099|7133|10461|10859|23308|51176|54440|57045|64092|64115|81704|221395|441478,PRDM1|ZFP36L2|CD33|CD74|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|INPP5D|KLRC2|LGALS9|PAWR|PDGFRA|PTPRE|SLC7A1|TFRC|TLR4|TNFRSF1B|MERTK|LILRB1|ICOSLG|LEF1|SASH3|TWSG1|SAMSN1|VSIR|DOCK8|ADGRF5|NRARP,-8.4,GenesID
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-12,5.1,9.7,30238,540,310,28,9,1.6,285|639|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|4734|5156|5787|6886|6926|10203|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|NEDD4|PDGFRA|PTPRB|TAL1|TBX3|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-8.4,GenesID
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-11,4.8,9.4,30238,565,310,28,9,1.6,285|639|1003|1317|1906|2004|2034|2321|2624|3397|3685|3688|3791|3953|4734|5156|5787|6886|6926|10203|30844|51176|79602|81575|113026|161198|221395|441478,ANGPT2|PRDM1|CDH5|SLC31A1|EDN1|ELK3|EPAS1|FLT1|GATA2|ID1|ITGAV|ITGB1|KDR|LEPR|NEDD4|PDGFRA|PTPRB|TAL1|TBX3|CALCRL|EHD4|LEF1|ADIPOR2|APOLD1|PLCD3|CLEC14A|ADGRF5|NRARP,-7.9,GenesID
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-11,5,9.4,30238,532,310,27,8.7,1.6,639|678|972|3071|3105|3117|3122|3127|3133|3635|3822|3965|5074|6541|7037|7099|7133|10461|10859|23308|51176|54440|57045|64092|64115|81704|441478,PRDM1|ZFP36L2|CD74|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|INPP5D|KLRC2|LGALS9|PAWR|SLC7A1|TFRC|TLR4|TNFRSF1B|MERTK|LILRB1|ICOSLG|LEF1|SASH3|TWSG1|SAMSN1|VSIR|DOCK8|NRARP,-7.8,GenesID
GO Biological Processes,19,GO:0003018,vascular process in circulatory system,19_GO:0032501 multicellular organismal process,-11,6.9,10,30238,283,310,20,6.5,1.4,183|482|1003|1906|1910|3688|3953|5243|6338|6506|6513|6541|6566|6916|7037|9368|9429|11309|59341|143872,AGT|ATP1B2|CDH5|EDN1|EDNRB|ITGB1|LEPR|ABCB1|SCNN1B|SLC1A2|SLC2A1|SLC7A1|SLC16A1|TBXAS1|TFRC|NHERF1|ABCG2|SLCO2B1|TRPV4|ARHGAP42,-7.6,GenesID
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0048518 positive regulation of biological process,-11,4.9,9.2,30238,513,310,26,8.4,1.6,972|2113|3071|3105|3117|3122|3127|3133|3685|3791|3965|3987|4088|5420|6541|7037|10859|23308|51176|54440|54453|54518|57580|64115|64805|81704,CD74|ETS1|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|ITGAV|KDR|LGALS9|LIMS1|SMAD3|PODXL|SLC7A1|TFRC|LILRB1|ICOSLG|LEF1|SASH3|RIN2|APBB1IP|PREX1|VSIR|P2RY12|DOCK8,-7.5,GenesID
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-10,4.4,8.9,30238,642,310,29,9.4,1.7,183|718|837|972|1436|1906|2113|2152|3071|3133|3791|3822|3965|4064|4088|5156|5327|7096|7099|9261|9630|51284|57169|59341|64805|81793|83666|140609|196527,AGT|C3|CASP4|CD74|CSF1R|EDN1|ETS1|F3|NCKAP1L|HLA-E|KDR|KLRC2|LGALS9|CD180|SMAD3|PDGFRA|PLAT|TLR1|TLR4|MAPKAPK2|GNA14|TLR7|ZNFX1|TRPV4|P2RY12|TLR10|PARP9|NEK7|ANO6,-7.4,GenesID
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-10,4.4,8.8,30238,648,310,29,9.4,1.7,678|718|972|1380|1906|3105|3133|3688|3953|4064|4088|4734|6338|7096|7099|8809|9452|9976|10461|10859|23303|23308|51176|54440|54518|57580|81704|221395|441478,ZFP36L2|C3|CD74|CR2|EDN1|HLA-A|HLA-E|ITGB1|LEPR|CD180|SMAD3|NEDD4|SCNN1B|TLR1|TLR4|IL18R1|ITM2A|CLEC2B|MERTK|LILRB1|KIF13B|ICOSLG|LEF1|SASH3|APBB1IP|PREX1|DOCK8|ADGRF5|NRARP,-7.4,GenesID
GO Biological Processes,19,GO:0098657,import into cell,19_GO:0051179 localization,-10,4.1,8.6,30238,708,310,30,9.7,1.7,482|2624|3685|3688|3773|3953|4599|4734|4864|6338|6506|6513|6541|7037|7099|9261|9368|9936|10203|10461|10859|23677|29763|30844|30845|54453|57488|59341|115677|122618,ATP1B2|GATA2|ITGAV|ITGB1|KCNJ16|LEPR|MX1|NEDD4|NPC1|SCNN1B|SLC1A2|SLC2A1|SLC7A1|TFRC|TLR4|MAPKAPK2|NHERF1|CD302|CALCRL|MERTK|LILRB1|SH3BP4|PACSIN3|EHD4|EHD3|RIN2|ESYT2|TRPV4|NOSTRIN|PLD4,-7.1,GenesID
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-10,6,9.5,30238,341,310,21,6.8,1.4,285|953|1608|2004|2065|2152|2624|3685|3688|3705|3791|4088|5156|5327|5627|7099|8323|10461|64805|79602|196527,ANGPT2|ENTPD1|DGKG|ELK3|ERBB3|F3|GATA2|ITGAV|ITGB1|ITPK1|KDR|SMAD3|PDGFRA|PLAT|PROS1|TLR4|FZD6|MERTK|P2RY12|ADIPOR2|ANO6,-7.1,GenesID
GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-10,5.1,9,30238,461,310,24,7.7,1.5,285|678|953|1608|2004|2065|2152|2624|2908|3685|3688|3705|3791|4088|5156|5327|5627|6506|7099|8323|10461|64805|79602|196527,ANGPT2|ZFP36L2|ENTPD1|DGKG|ELK3|ERBB3|F3|GATA2|NR3C1|ITGAV|ITGB1|ITPK1|KDR|SMAD3|PDGFRA|PLAT|PROS1|SLC1A2|TLR4|FZD6|MERTK|P2RY12|ADIPOR2|ANO6,-7,GenesID
GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-9.7,3.8,8.2,30238,786,310,31,10,1.7,678|837|972|1380|1436|1906|2152|2840|3059|3429|3455|3560|3597|3953|3965|3987|4599|4939|5243|6662|7037|7099|7133|8809|10859|51176|79602|81704|87178|115361|140609,ZFP36L2|CASP4|CD74|CR2|CSF1R|EDN1|F3|GPR17|HCLS1|IFI27|IFNAR2|IL2RB|IL13RA1|LEPR|LGALS9|LIMS1|MX1|OAS2|ABCB1|SOX9|TFRC|TLR4|TNFRSF1B|IL18R1|LILRB1|LEF1|ADIPOR2|DOCK8|PNPT1|GBP4|NEK7,-6.8,GenesID
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-9.7,4.7,8.6,30238,520,310,25,8.1,1.5,678|718|972|1380|3105|3133|3688|3953|4064|4088|4734|7099|8809|9452|9976|10461|10859|23303|23308|51176|54440|54518|57580|81704|441478,ZFP36L2|C3|CD74|CR2|HLA-A|HLA-E|ITGB1|LEPR|CD180|SMAD3|NEDD4|TLR4|IL18R1|ITM2A|CLEC2B|MERTK|LILRB1|KIF13B|ICOSLG|LEF1|SASH3|APBB1IP|PREX1|DOCK8|NRARP,-6.7,GenesID
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-9.2,4.1,8.2,30238,635,310,27,8.7,1.6,718|837|1436|2152|2908|2919|3429|3688|3965|4064|5724|6338|7037|7096|7099|7133|8809|9261|9630|11343|51284|53342|81793|84632|122618|140609|196527,C3|CASP4|CSF1R|F3|NR3C1|CXCL1|IFI27|ITGB1|LGALS9|CD180|PTAFR|SCNN1B|TFRC|TLR1|TLR4|TNFRSF1B|IL18R1|MAPKAPK2|GNA14|MGLL|TLR7|IL17D|TLR10|AFAP1L2|PLD4|NEK7|ANO6,-6.3,GenesID
GO Biological Processes,19,GO:0010232,vascular transport,19_GO:0051179 localization,-8.8,12,11,30238,87,310,11,3.5,1.1,482|3953|5243|6506|6513|6541|6566|7037|9368|9429|11309,ATP1B2|LEPR|ABCB1|SLC1A2|SLC2A1|SLC7A1|SLC16A1|TFRC|NHERF1|ABCG2|SLCO2B1,-5.9,GenesID
GO Biological Processes,19,GO:0150104,transport across blood-brain barrier,19_GO:0051179 localization,-8.8,12,11,30238,87,310,11,3.5,1.1,482|3953|5243|6506|6513|6541|6566|7037|9368|9429|11309,ATP1B2|LEPR|ABCB1|SLC1A2|SLC2A1|SLC7A1|SLC16A1|TFRC|NHERF1|ABCG2|SLCO2B1,-5.9,GenesID
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-8.8,5.1,8.4,30238,404,310,21,6.8,1.4,639|972|3071|3105|3117|3122|3127|3133|3965|5074|6541|7037|7133|10859|23308|51176|54440|57045|64115|81704|441478,PRDM1|CD74|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|LGALS9|PAWR|SLC7A1|TFRC|TNFRSF1B|LILRB1|ICOSLG|LEF1|SASH3|TWSG1|VSIR|DOCK8|NRARP,-5.9,GenesID
GO Molecular Functions,21,GO:0019838,growth factor binding,,-8.8,9.3,9.9,30238,136,310,13,4.2,1.1,2|1436|2065|2321|3486|3560|3655|3685|3791|5156|5654|53834|57045,A2M|CSF1R|ERBB3|FLT1|IGFBP3|IL2RB|ITGA6|ITGAV|KDR|PDGFRA|HTRA1|FGFRL1|TWSG1,-5.9,GenesID
GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-8.7,4.4,8,30238,537,310,24,7.7,1.5,183|482|1003|1906|1910|3688|3953|4088|5243|6338|6506|6513|6541|6566|6640|6916|7037|9283|9368|9429|11309|25937|59341|143872,AGT|ATP1B2|CDH5|EDN1|EDNRB|ITGB1|LEPR|SMAD3|ABCB1|SCNN1B|SLC1A2|SLC2A1|SLC7A1|SLC16A1|SNTA1|TBXAS1|TFRC|GPR37L1|NHERF1|ABCG2|SLCO2B1|WWTR1|TRPV4|ARHGAP42,-5.8,GenesID
GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-8.5,4.9,8.1,30238,421,310,21,6.8,1.4,2|718|972|1380|2624|3071|3105|3122|3133|3597|3635|3822|3965|7037|7099|7133|8809|9261|10859|51284|54440,A2M|C3|CD74|CR2|GATA2|NCKAP1L|HLA-A|HLA-DRA|HLA-E|IL13RA1|INPP5D|KLRC2|LGALS9|TFRC|TLR4|TNFRSF1B|IL18R1|MAPKAPK2|LILRB1|TLR7|SASH3,-5.6,GenesID
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-8.3,5.3,8.2,30238,350,310,19,6.1,1.4,678|972|3105|3133|3953|4088|4734|7099|8809|9976|10859|23303|23308|51176|54440|54518|57580|81704|441478,ZFP36L2|CD74|HLA-A|HLA-E|LEPR|SMAD3|NEDD4|TLR4|IL18R1|CLEC2B|LILRB1|KIF13B|ICOSLG|LEF1|SASH3|APBB1IP|PREX1|DOCK8|NRARP,-5.5,GenesID
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-8.1,4.6,7.8,30238,441,310,21,6.8,1.4,678|972|1380|1436|2624|2908|3688|3953|6886|7037|7099|8809|9452|10461|10859|23308|51176|54440|57580|135228|441478,ZFP36L2|CD74|CR2|CSF1R|GATA2|NR3C1|ITGB1|LEPR|TAL1|TFRC|TLR4|IL18R1|ITM2A|MERTK|LILRB1|ICOSLG|LEF1|SASH3|PREX1|CD109|NRARP,-5.3,GenesID
GO Biological Processes,19,GO:0070663,regulation of leukocyte proliferation,19_GO:0050789 regulation of biological process,-8.1,5.8,8.3,30238,284,310,17,5.5,1.3,972|1436|3071|3105|3133|3635|3965|5074|6541|7037|7099|7133|10859|23308|54440|57045|64115,CD74|CSF1R|NCKAP1L|HLA-A|HLA-E|INPP5D|LGALS9|PAWR|SLC7A1|TFRC|TLR4|TNFRSF1B|LILRB1|ICOSLG|SASH3|TWSG1|VSIR,-5.3,GenesID
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0050789 regulation of biological process,-8.1,4.9,7.9,30238,401,310,20,6.5,1.4,972|2113|3071|3105|3117|3122|3127|3133|3965|5074|6541|7037|10859|23308|51176|54440|57045|64115|81704|441478,CD74|ETS1|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|LGALS9|PAWR|SLC7A1|TFRC|LILRB1|ICOSLG|LEF1|SASH3|TWSG1|VSIR|DOCK8|NRARP,-5.3,GenesID
GO Biological Processes,19,GO:0071383,cellular response to steroid hormone stimulus,19_GO:0050896 response to stimulus,-8,8.1,9.1,30238,156,310,13,4.2,1.1,678|1906|2235|2908|4734|4864|5243|5978|6338|6663|56937|85315|133522,ZFP36L2|EDN1|FECH|NR3C1|NEDD4|NPC1|ABCB1|REST|SCNN1B|SOX10|PMEPA1|PAQR8|PPARGC1B,-5.3,GenesID
GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,19_GO:0048518 positive regulation of biological process,-8,5.7,8.2,30238,289,310,17,5.5,1.3,972|2113|3071|3105|3117|3122|3127|3133|3965|6541|7037|10859|23308|51176|54440|64115|81704,CD74|ETS1|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|LGALS9|SLC7A1|TFRC|LILRB1|ICOSLG|LEF1|SASH3|VSIR|DOCK8,-5.3,GenesID
GO Molecular Functions,21,GO:0140375,immune receptor activity,,-8,8.1,9,30238,157,310,13,4.2,1.1,972|1380|2152|2840|3117|3122|3455|3560|3597|3822|3953|8809|10859,CD74|CR2|F3|GPR17|HLA-DQA1|HLA-DRA|IFNAR2|IL2RB|IL13RA1|KLRC2|LEPR|IL18R1|LILRB1,-5.3,GenesID
GO Biological Processes,19,GO:0050670,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-8,6.1,8.4,30238,254,310,16,5.2,1.3,972|3071|3105|3133|3635|3965|5074|6541|7037|7099|7133|10859|23308|54440|57045|64115,CD74|NCKAP1L|HLA-A|HLA-E|INPP5D|LGALS9|PAWR|SLC7A1|TFRC|TLR4|TNFRSF1B|LILRB1|ICOSLG|SASH3|TWSG1|VSIR,-5.3,GenesID
GO Biological Processes,19,GO:0048871,multicellular organismal-level homeostasis,19_GO:0042592 homeostatic process,-8,3.7,7.4,30238,677,310,26,8.4,1.6,482|1003|2034|2235|2624|3059|3071|3688|3791|3953|5243|6005|6338|6513|6662|6886|7037|7099|10461|25937|30061|51705|54440|59341|133522|221395,ATP1B2|CDH5|EPAS1|FECH|GATA2|HCLS1|NCKAP1L|ITGB1|KDR|LEPR|ABCB1|RHAG|SCNN1B|SLC2A1|SOX9|TAL1|TFRC|TLR4|MERTK|WWTR1|SLC40A1|EMCN|SASH3|TRPV4|PPARGC1B|ADGRF5,-5.3,GenesID
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-7.9,4,7.5,30238,586,310,24,7.7,1.5,2|945|972|1380|1997|2624|2840|3071|3105|3133|3635|3965|5074|6662|7099|10461|10859|25939|53342|57045|64092|64115|221395|441478,A2M|CD33|CD74|CR2|ELF1|GATA2|GPR17|NCKAP1L|HLA-A|HLA-E|INPP5D|LGALS9|PAWR|SOX9|TLR4|MERTK|LILRB1|SAMHD1|IL17D|TWSG1|SAMSN1|VSIR|ADGRF5|NRARP,-5.2,GenesID
GO Biological Processes,19,GO:0032944,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-7.9,6,8.3,30238,258,310,16,5.2,1.3,972|3071|3105|3133|3635|3965|5074|6541|7037|7099|7133|10859|23308|54440|57045|64115,CD74|NCKAP1L|HLA-A|HLA-E|INPP5D|LGALS9|PAWR|SLC7A1|TFRC|TLR4|TNFRSF1B|LILRB1|ICOSLG|SASH3|TWSG1|VSIR,-5.2,GenesID
GO Cellular Components,20,GO:0098797,plasma membrane protein complex,,-7.8,3.6,7.2,30238,739,310,27,8.7,1.6,482|972|1003|2065|2787|3105|3117|3122|3127|3133|3560|3597|3655|3685|3688|3773|5156|6640|7037|7096|8809|9368|9630|10203|28316|54518|55970,ATP1B2|CD74|CDH5|ERBB3|GNG5|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|IL2RB|IL13RA1|ITGA6|ITGAV|ITGB1|KCNJ16|PDGFRA|SNTA1|TFRC|TLR1|IL18R1|NHERF1|GNA14|CALCRL|CDH20|APBB1IP|GNG12,-5.1,GenesID
GO Biological Processes,19,GO:0002703,regulation of leukocyte mediated immunity,19_GO:0002376 immune system process,-7.8,5.9,8.2,30238,264,310,16,5.2,1.3,718|1380|2624|3071|3105|3122|3133|3635|3822|3965|7037|7099|7133|8809|10859|54440,C3|CR2|GATA2|NCKAP1L|HLA-A|HLA-DRA|HLA-E|INPP5D|KLRC2|LGALS9|TFRC|TLR4|TNFRSF1B|IL18R1|LILRB1|SASH3,-5.1,GenesID
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-7.7,3.5,7.1,30238,747,310,27,8.7,1.6,718|837|972|1380|3071|3105|3117|3122|3127|3133|3635|3822|3965|5583|7037|7096|7099|8809|9261|10859|23308|51284|54440|57169|81793|83666|140609,C3|CASP4|CD74|CR2|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|INPP5D|KLRC2|LGALS9|PRKCH|TFRC|TLR1|TLR4|IL18R1|MAPKAPK2|LILRB1|ICOSLG|TLR7|SASH3|ZNFX1|TLR10|PARP9|NEK7,-5.1,GenesID
GO Biological Processes,19,GO:0050870,positive regulation of T cell activation,19_GO:0002376 immune system process,-7.7,5.8,8.1,30238,267,310,16,5.2,1.3,972|3071|3105|3117|3122|3127|3133|3965|6541|7037|10859|23308|51176|54440|64115|81704,CD74|NCKAP1L|HLA-A|HLA-DQA1|HLA-DRA|HLA-DRB5|HLA-E|LGALS9|SLC7A1|TFRC|LILRB1|ICOSLG|LEF1|SASH3|VSIR|DOCK8,-5,GenesID
